danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0.434,0.755,2,-5.735,1,0.659,0.0415,2.57E-05,0.106,0.217,87.383
0.43,0.663,10,-6.189,0,0.0326,0.0172,0.000202,0.121,0.177,173.973
0.435,0.727,1,-6.969,1,0.0611,0.0424,4.60E-06,0.105,0.399,174.992
0.377,0.858,11,-4.9,0,0.148,0.134,0.00185,0.0985,0.117,174.751
0.429,0.737,10,-4.788,0,0.0431,0.0216,1.41E-05,0.12,0.297,174.987
0.511,0.885,5,-3.259,0,0.287,0.00479,0.0645,0.115,0.343,170.002
0.706,0.76,7,-4.61,1,0.0581,0.000671,0.254,0.28,0.244,127.993
0.479,0.896,7,-4.786,0,0.12,0.0094,0.234,0.125,0.165,170.04
0.379,0.783,10,-4.539,1,0.0905,0.00163,0.833,0.198,0.252,170.094
0.336,0.81,11,-4.922,1,0.0338,0.000479,0.0247,0.182,0.224,175.022
0.533,0.854,11,-3.425,0,0.0441,0.00125,0.0531,0.158,0.402,170.063
0.604,0.948,7,-1.608,1,0.0619,0.000162,0.675,0.334,0.615,170.045
0.433,0.988,8,-4.006,0,0.103,0.000567,0.762,0.646,0.341,173.021
0.325,0.663,11,-5.869,0,0.074,0.0313,0.0101,0.0737,0.147,174.04
0.314,0.94,11,-4.238,1,0.115,4.64E-05,0.011,0.317,0.194,173.915
0.418,0.95,6,-4.239,0,0.0644,2.15E-05,0.953,0.109,0.399,173.917
0.713,0.891,9,-5.724,0,0.0352,0.000513,0.0688,0.0687,0.365,127.977
0.576,0.914,2,-2.868,1,0.0353,0.00152,0.789,0.0536,0.309,79.996
0.494,0.947,5,-4.107,0,0.0624,0.0266,0.00966,0.32,0.24,174.016
0.51,0.926,11,-4.998,0,0.199,0.000143,0.212,0.0801,0.24,130.056
0.457,0.92,3,-2.927,0,0.22,0.0832,3.28E-06,0.346,0.468,159.628
0.391,0.957,7,-2.51,1,0.0904,0.00331,0.22,0.112,0.121,100.024
0.329,0.973,6,-2.614,0,0.286,0.0207,0.361,0.372,0.42,170.037
0.448,0.88,8,-3.076,1,0.136,0.0078,1.07E-05,0.0955,0.394,170.047
0.466,0.983,1,-2.608,1,0.0601,0.000141,0.331,0.231,0.0539,174.983
0.402,0.984,0,-1.135,1,0.138,0.000621,0.000395,0.521,0.378,174.916
0.518,0.937,11,-2.794,1,0.0666,0.00139,0.000215,0.227,0.47,160.029
0.659,0.956,1,-4.507,1,0.119,0.00431,0.574,0.0941,0.569,108.059
0.487,0.965,7,-2.862,1,0.301,4.49E-05,0.0143,0.246,0.195,175.029
0.426,0.882,6,-5.276,0,0.0721,0.00169,0.637,0.0464,0.23,127.968
0.681,0.909,9,-4.847,1,0.353,0.00135,2.33E-05,0.0754,0.378,110.007
0.34,0.865,0,-3.666,1,0.078,0.00121,0.42,0.137,0.0343,175.002
0.751,0.823,9,-5.291,1,0.143,0.0138,0.000236,0.236,0.408,110.116
0.536,0.955,5,-2.719,0,0.1,0.0044,0.433,0.43,0.606,168.051
0.536,0.983,5,-1.897,1,0.184,0.00177,0.00451,0.338,0.659,180.023
0.738,0.977,4,-2.307,1,0.125,0.0127,0.000553,0.126,0.496,110.035
0.448,0.91,2,-3.033,1,0.109,2.49E-05,0.729,0.685,0.498,172.981
0.5,0.871,0,-3.924,1,0.0553,0.000565,0.114,0.327,0.357,87.509
0.615,0.992,7,-1.507,1,0.0747,0.0353,0.224,0.257,0.721,165.017
0.542,0.925,6,-4.386,0,0.14,0.00852,0.00272,0.136,0.254,128.016
