danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0.2,0.154,2,-15.898,0,0.0397,0.963,0.000687,0.104,0.0823,67.782
0.23,0.192,7,-12.803,1,0.0317,0.903,5.16E-06,0.101,0.153,169.894
0.274,0.348,5,-8.631,1,0.0293,0.547,0.0133,0.334,0.328,87.43
0.257,0.125,11,-14.267,0,0.0332,0.891,0,0.108,0.245,84.93
0.362,0.212,5,-9.507,1,0.0295,0.939,0.00315,0.201,0.385,106.659
0.516,0.226,5,-13.362,1,0.0441,0.743,0,0.108,0.393,120.961
0.67,0.365,0,-10.158,1,0.0564,0.525,0,0.0575,0.45,119.344
0.421,0.285,2,-9.43,0,0.0293,0.829,1.55E-06,0.233,0.402,85.861
0.574,0.338,6,-11.376,1,0.042,0.845,0,0.165,0.493,67.008
0.366,0.391,3,-12.322,1,0.0425,0.854,0,0.352,0.461,119.182
0.161,0.289,4,-11.356,0,0.036,0.89,0.000131,0.17,0.377,170.574
0.425,0.373,4,-7.543,1,0.0801,0.686,0,0.077,0.663,78.231
0.375,0.242,1,-13.164,1,0.102,0.937,2.72E-05,0.118,0.227,204.202
0.344,0.108,5,-16.631,1,0.0475,0.971,0,0.0961,0.263,61.188
0.41,0.0418,1,-24.754,1,0.035,0.977,0.0137,0.117,0.247,67.882
0.407,0.0293,2,-18.177,0,0.0378,0.975,1.68E-05,0.0997,0.206,135.039
0.511,0.0709,5,-17.138,1,0.0519,0.883,0,0.104,0.334,116.435
0.484,0.0631,7,-16.494,1,0.0353,0.972,0.000292,0.143,0.243,136.482
0.441,0.0613,5,-17.268,1,0.0436,0.951,0.00405,0.0789,0.0777,117.357
0.455,0.106,2,-14.086,1,0.0422,0.986,0,0.122,0.258,66.807
0.317,0.0186,3,-23.65,0,0.0363,0.956,1.90E-06,0.12,0.117,78.325
0.276,0.129,4,-17.252,1,0.0364,0.984,0.00021,0.298,0.232,60.29
0.217,0.182,5,-15.407,1,0.0335,0.93,0.627,0.165,0.0871,66.075
0.532,0.495,10,-6.662,1,0.0343,0.659,0,0.0754,0.308,124.936
0.236,0.173,6,-13.844,1,0.0319,0.928,0.000623,0.239,0.279,82.342
0.171,0.0632,0,-20.776,1,0.0327,0.945,2.71E-05,0.121,0.168,81.406
0.504,0.0777,7,-19.969,1,0.0336,0.966,1.17E-06,0.122,0.185,106.265
0.461,0.339,10,-7.121,1,0.0289,0.838,0,0.145,0.33,108.754
0.453,0.14,1,-10.434,1,0.0592,0.848,0,0.0903,0.392,75.211
0.372,0.0857,9,-15.255,0,0.03,0.936,0.000462,0.14,0.0729,58.001
0.148,0.161,8,-14.322,0,0.0301,0.853,0.867,0.141,0.115,85.484
0.358,0.121,7,-19.327,1,0.0454,0.967,7.29E-05,0.258,0.299,85.14
0.576,0.273,0,-10.216,1,0.0359,0.909,9.63E-05,0.146,0.21,87.122
0.449,0.0426,8,-18.589,1,0.0441,0.981,0,0.117,0.167,119.857
0.562,0.263,6,-12.691,1,0.0278,0.804,0.00114,0.119,0.482,71.584
0.425,0.0469,7,-18.612,0,0.0354,0.955,0,0.137,0.154,135.335
0.562,0.119,5,-16.837,1,0.0351,0.975,0.00343,0.113,0.213,75.52
0.285,0.142,10,-18.543,1,0.0361,0.809,8.40E-05,0.0905,0.15,138.069
0.184,0.292,7,-12.246,1,0.0312,0.878,0.000258,0.346,0.143,75.63
0.516,0.081,7,-18.345,0,0.0602,0.939,2.48E-05,0.367,0.352,138.69
