danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0.707,0.681,0,-4.325,1,0.0668,0.0632,5.15E-06,0.0322,0.646,117.999
0.715,0.62,1,-6.005,0,0.0484,0.417,0,0.0822,0.172,97.95
0.644,0.728,8,-5.75,1,0.0351,0.0543,0.169,0.161,0.43,88.993
0.714,0.472,2,-7.375,1,0.0864,0.013,4.51E-06,0.266,0.238,131.121
0.692,0.47,4,-7.236,1,0.143,0.252,0,0.125,0.464,101.258
0.637,0.643,4,-6.571,1,0.0519,0.13,1.80E-06,0.142,0.533,97.008
0.448,0.412,1,-11.838,1,0.0317,0.318,0.00318,0.147,0.266,93.839
0.667,0.75,0,-4.602,1,0.0906,0.0746,0.000198,0.197,0.486,126.041
0.766,0.421,0,-13.083,1,0.0314,0.0998,0.0923,0.0985,0.917,122.005
0.773,0.742,5,-3.678,0,0.046,0.0206,0,0.0754,0.571,114.071
0.801,0.806,11,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,106.999
0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994
0.4,0.641,8,-6.303,1,0.0674,0.214,0,0.0656,0.393,81.552
0.827,0.483,6,-8.751,1,0.0517,0.308,1.82E-05,0.107,0.628,144.813
0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93
0.63,0.498,0,-8.065,1,0.0602,0.0583,0,0.325,0.541,108.448
0.912,0.774,0,-4.673,0,0.0455,0.121,0.0127,0.101,0.632,119.966
0.736,0.681,5,-6.063,1,0.0745,0.106,0,0.12,0.481,100.924
0.494,0.351,10,-10.636,1,0.0351,0.705,0.000457,0.11,0.132,127.086
0.505,0.249,1,-14.879,0,0.139,0.115,0,0.155,0.207,115.815
0.824,0.32,5,-10.617,1,0.0597,0.606,0,0.104,0.435,132.111
0.576,0.627,3,-4.649,0,0.0449,0.0385,0,0.181,0.311,164.998
0.768,0.714,10,-5.11,1,0.0401,0.352,0,0.15,0.842,131.443
0.693,0.643,4,-5.867,0,0.0828,0.138,0,0.108,0.477,95.055
0.559,0.885,1,-4.515,1,0.189,0.0432,0,0.333,0.683,172.029
0.655,0.539,1,-7.596,0,0.08,0.029,0,0.17,0.221,119.914
0.707,0.483,1,-7.365,1,0.059,0.106,3.54E-06,0.0356,0.386,87.999
0.376,0.657,7,-4.658,1,0.0768,0.0858,0,0.0884,0.203,80.565
0.601,0.713,4,-3.758,0,0.0449,0.0282,0,0.158,0.464,122.872
0.887,0.531,7,-5.389,1,0.121,0.0159,0,0.634,0.772,117.056
0.877,0.56,7,-3.751,1,0.0596,0.00721,1.45E-06,0.0839,0.154,119.971
0.815,0.849,4,-4.704,0,0.114,0.0229,0.000176,0.026,0.685,106.035
0.756,0.697,8,-6.377,1,0.0401,0.182,0,0.333,0.956,94.996
0.824,0.697,11,-4.869,0,0.0473,0.158,4.11E-05,0.077,0.757,99.988
0.902,0.582,5,-5.902,0,0.109,0.111,3.18E-06,0.111,0.332,107.005
0.836,0.743,10,-6.305,0,0.0656,0.0995,0,0.335,0.722,108.966
0.523,0.215,7,-9.814,1,0.0287,0.682,0.268,0.138,0.073,133.917
0.483,0.711,9,-4.319,0,0.0346,0.0893,0,0.341,0.646,83.626
0.774,0.742,6,-7.391,0,0.0784,0.0312,5.03E-05,0.0907,0.677,122.028
0.639,0.707,7,-7.39,1,0.0364,0.679,0.00202,0.104,0.47,80.009
