danceability,energy,acousticness,instrumentalness,valence,target
0.707,0.681,0.0632,5.15E-06,0.646,0
0.715,0.62,0.417,0,0.172,0
0.644,0.728,0.0543,0.169,0.43,0
0.714,0.472,0.013,4.51E-06,0.238,0
0.692,0.47,0.252,0,0.464,0
0.637,0.643,0.13,1.80E-06,0.533,0
0.448,0.412,0.318,0.00318,0.266,0
0.667,0.75,0.0746,0.000198,0.486,0
0.766,0.421,0.0998,0.0923,0.917,0
0.773,0.742,0.0206,0,0.571,0
0.801,0.806,0.382,0.000669,0.802,0
0.704,0.797,0.0826,0.000745,0.825,0
0.4,0.641,0.214,0,0.393,0
0.827,0.483,0.308,1.82E-05,0.628,0
0.52,0.731,0.342,0.00101,0.662,0
0.63,0.498,0.0583,0,0.541,0
0.912,0.774,0.121,0.0127,0.632,0
0.736,0.681,0.106,0,0.481,0
0.494,0.351,0.705,0.000457,0.132,0
0.505,0.249,0.115,0,0.207,0
0.824,0.32,0.606,0,0.435,0
0.576,0.627,0.0385,0,0.311,0
0.768,0.714,0.352,0,0.842,0
0.693,0.643,0.138,0,0.477,0
0.559,0.885,0.0432,0,0.683,0
0.655,0.539,0.029,0,0.221,0
0.707,0.483,0.106,3.54E-06,0.386,0
0.376,0.657,0.0858,0,0.203,0
0.601,0.713,0.0282,0,0.464,0
0.887,0.531,0.0159,0,0.772,0
0.877,0.56,0.00721,1.45E-06,0.154,0
0.815,0.849,0.0229,0.000176,0.685,0
0.756,0.697,0.182,0,0.956,0
0.824,0.697,0.158,4.11E-05,0.757,0
0.902,0.582,0.111,3.18E-06,0.332,0
0.836,0.743,0.0995,0,0.722,0
0.523,0.215,0.682,0.268,0.073,0
0.483,0.711,0.0893,0,0.646,0
0.774,0.742,0.0312,5.03E-05,0.677,0
0.639,0.707,0.679,0.00202,0.47,0
0.2,0.154,0.963,0.000687,0.0823,1
0.23,0.192,0.903,5.16E-06,0.153,1
0.274,0.348,0.547,0.0133,0.328,1
0.257,0.125,0.891,0,0.245,1
0.362,0.212,0.939,0.00315,0.385,1
0.516,0.226,0.743,0,0.393,1
0.67,0.365,0.525,0,0.45,1
0.421,0.285,0.829,1.55E-06,0.402,1
0.574,0.338,0.845,0,0.493,1
0.366,0.391,0.854,0,0.461,1
0.161,0.289,0.89,0.000131,0.377,1
0.425,0.373,0.686,0,0.663,1
0.375,0.242,0.937,2.72E-05,0.227,1
0.344,0.108,0.971,0,0.263,1
0.41,0.0418,0.977,0.0137,0.247,1
0.407,0.0293,0.975,1.68E-05,0.206,1
0.511,0.0709,0.883,0,0.334,1
0.484,0.0631,0.972,0.000292,0.243,1
0.441,0.0613,0.951,0.00405,0.0777,1
0.455,0.106,0.986,0,0.258,1
0.317,0.0186,0.956,1.90E-06,0.117,1
0.276,0.129,0.984,0.00021,0.232,1
0.217,0.182,0.93,0.627,0.0871,1
0.532,0.495,0.659,0,0.308,1
0.236,0.173,0.928,0.000623,0.279,1
0.171,0.0632,0.945,2.71E-05,0.168,1
0.504,0.0777,0.966,1.17E-06,0.185,1
