danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0.45,0.904,6,-7.736,1,0.046,0.0872,0.108,0.102,0.689,125.072
0.498,0.855,1,-7.991,1,0.103,0.0135,0.0836,0.361,0.738,159.714
0.414,0.404,0,-9.928,0,0.0499,0.271,0,0.3,0.224,71.105
0.547,0.822,0,-7.201,1,0.0292,0.0745,0.00943,0.0645,0.774,130.138
0.534,0.887,0,-3.777,1,0.0345,0.0768,9.93E-05,0.325,0.72,122.494
0.653,0.73,5,-10.613,1,0.043,0.0114,1.03E-05,0.0754,0.894,108.705
0.597,0.605,7,-12.013,1,0.0255,0.181,0.000331,0.118,0.886,97.782
0.443,0.955,8,-8.066,1,0.0741,0.0222,0.361,0.297,0.333,123.423
0.577,0.828,6,-8.691,0,0.0298,0.00213,0.0114,0.0581,0.604,123.257
0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386
0.815,0.438,0,-14.522,0,0.0346,0.216,0.000466,0.0787,0.552,108.965
0.5,0.748,4,-9.072,1,0.0363,0.127,0,0.447,0.514,118.852
0.579,0.508,2,-9.484,1,0.027,0.00574,0.000494,0.0575,0.609,147.125
0.346,0.335,7,-12.453,1,0.0339,0.575,0.00674,0.185,0.213,84.204
0.64,0.663,0,-7.516,1,0.0374,0.201,0.00806,0.152,0.663,132.77
0.452,0.788,7,-5.712,1,0.0326,0.00283,0.000116,0.441,0.793,126.739
0.438,0.805,8,-6.237,1,0.0624,0.00255,5.69E-05,0.0842,0.564,113.253
0.332,0.926,9,-8.732,0,0.0722,0.00284,0.000254,0.215,0.395,141.423
0.563,0.865,5,-5.277,1,0.16,0.0472,0.000191,0.77,0.601,156.271
0.675,0.899,10,-6.124,0,0.0418,0.0696,0.000139,0.33,0.91,103.683
0.316,0.484,9,-9.11,0,0.0308,0.000334,0.00445,0.0912,0.299,117.363
0.933,0.528,5,-6.472,0,0.161,0.112,0.312,0.163,0.754,109.967
0.743,0.836,2,-6.465,1,0.116,0.0804,0,0.384,0.82,113.375
0.533,0.905,2,-5.27,1,0.0754,0.00876,0.578,0.0698,0.486,108.9
0.438,0.71,2,-12.412,1,0.0919,0.262,0.537,0.221,0.53,145.928
0.63,0.616,1,-8.128,0,0.0309,0.463,0.0408,0.173,0.509,118.65
0.62,0.613,4,-15.542,0,0.0512,0.211,0.0379,0.112,0.795,110.262
0.566,0.673,9,-10.814,1,0.306,0.565,1.13E-06,0.0438,0.583,114.385
0.653,0.519,2,-10.164,1,0.0497,0.406,0.0209,0.101,0.822,98.883
0.741,0.697,0,-7.028,1,0.0277,0.0664,2.28E-05,0.133,0.774,116.109
0.548,0.691,4,-13.553,0,0.0369,0.015,0.106,0.144,0.667,137.145
0.574,0.913,6,-4.793,0,0.133,0.061,0.00158,0.156,0.423,115.728
0.598,0.676,0,-9.211,1,0.0279,0.13,0.225,0.112,0.805,114.169
0.453,0.905,9,-4.001,1,0.115,0.36,0.000569,0.26,0.474,137.571
0.656,0.931,1,-5.827,1,0.0976,0.046,0,0.0543,0.909,144.747
0.497,0.849,9,-5.352,1,0.0612,0.00985,0,0.106,0.72,169.937
0.249,0.834,0,-8.21,1,0.0577,0.0738,9.48E-05,0.0924,0.338,118.223
0.489,0.724,5,-8.367,1,0.0352,0.313,0.185,0.287,0.15,117.292
0.647,0.762,2,-5.856,1,0.0287,0.0599,3.35E-06,0.0705,0.93,89.837
0.581,0.624,9,-8.346,1,0.0777,0.0987,0,0.0411,0.637,139.714
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
